depth	min95%	max95%	best	accrate
777	19384	20408	19975	40.47
778	19420	20451	20015	40.47
779	19456	20495	20056	40.47
780	19491	20539	20096	40.47
781	19527	20582	20137	40.47
782	19563	20626	20177	40.47
783	19599	20670	20218	40.47
784	19634	20714	20258	40.47
785	19670	20758	20298	40.47
786	19706	20802	20339	40.47
787	19742	20846	20379	40.47
788	19778	20890	20420	40.47
789	19813	20933	20460	40.47
790	19849	20977	20501	40.47
791	19886	21021	20541	40.47
792	19923	21065	20582	40.47
793	19960	21109	20622	40.47
794	19997	21153	20663	40.47
795	20034	21197	20703	40.47
796	20071	21241	20744	40.47
797	20107	21284	20784	40.47
798	20143	21328	20825	40.47
799	20179	21372	20865	40.47
800	20215	21416	20905	NA
